episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
0,1.0,3.1997294227271937,0.6831027488803101,0.18289649629601615,21.0,1.3333333333333333,18,0.0,False,True,0.790532313853701,1,17.709159380834848,39.975,prepare,0.0,0
0,2.0,3.199712786596699,0.6831018272680143,0.1823013380640677,6.999999999999999,1.3333333333333333,12,0.14121237794481153,False,True,0.7904383568628952,1,17.709159380834848,40.001,in_progress,0.0,0
0,3.0,3.2452237558197967,0.6829566942321055,0.09972064452637923,6.999999999999999,1.3333333333333333,12,0.14361321087919685,False,True,1.0474280222168963,1,17.709159380834848,40.094,in_progress,0.0,0
0,4.0,3.296405389279429,0.6851532162481095,0.5598157643729973,6.999999999999999,1.3333333333333333,12,0.1400390655432387,False,True,1.3364588901987047,2,17.709159380834848,40.146,in_progress,0.0,0
0,5.0,3.3689253354837883,0.6925286674710468,1.789118090214074,0.0,1.3333333333333333,9,0.18137241815190655,False,True,1.7459614193304889,2,17.709159380834848,40.198,in_progress,0.0,0
0,6.0,3.4785611658157842,0.7041750044519491,2.989181265644668,0.0,4.0,11,0.7816015148418933,False,True,2.365069176606115,3,17.709159380834848,40.28,in_progress,0.0,0
0,7.0,3.584764633840253,0.7150076689505235,3.635487256343204,0.0,1.3333333333333333,9,0.16712577726606762,False,True,2.964819260455011,4,17.709159380834848,40.345,in_progress,0.0,0
0,8.0,3.6962882638862498,0.7251843434394698,4.067628820644291,0.0,1.3333333333333333,9,0.16679995579353635,False,True,3.5945879125735742,4,17.709159380834848,40.4,in_progress,0.0,0
0,9.0,3.81653090697819,0.7361481675945162,4.400779892546434,0.0,1.3333333333333333,9,0.16814519060189528,False,True,4.273588920159832,5,17.709159380834848,40.477,in_progress,0.0,0
0,10.0,3.910908957279227,0.7445274975598656,4.51878139674961,-7.000000000000002,2.6666666666666665,7,0.532224367813665,False,True,4.80653888879382,6,17.709159380834848,40.546,in_progress,0.0,0
0,11.0,3.9917533038044812,0.7516977589589406,4.297325984757946,0.0,1.3333333333333333,9,0.17808128202003592,False,True,5.263064277080379,6,17.709159380834848,40.592,in_progress,0.0,0
0,12.0,4.119668399438589,0.7584505348232344,3.9820418584869466,0.0,1.3333333333333333,9,0.18899493157250094,False,True,5.985390507883099,7,17.709159380834848,40.678,in_progress,0.0,0
0,13.0,4.210434386292639,0.7634745327373209,3.7297853686268594,0.0,1.3333333333333333,9,0.19704623356499046,False,True,6.497937469249273,8,17.709159380834848,40.745,in_progress,0.0,0
0,14.0,4.287220544560053,0.7676002197741958,3.5516761460973223,6.999999999999999,2.6666666666666665,13,0.5644494989881957,False,True,6.931544190255185,8,17.709159380834848,40.799,in_progress,0.0,0
0,15.0,4.560490747919517,0.80345298157502,6.821378190776159,-14.0,4.0,5,0.5567892193803591,False,True,8.47472320272317,10,17.709159380834848,40.945,in_progress,0.0,0
0,16.0,4.7083168480036655,0.8343743727082874,9.653405441083157,-7.000000000000002,1.3333333333333333,6,0.07522091736084112,False,True,9.309545616095882,11,17.709159380834848,41.001,in_progress,0.0,0
0,17.0,4.882250460767045,0.8562758106959334,9.689073304189217,0.0,2.6666666666666665,10,0.551814673935246,False,True,10.291764712577676,12,17.709159380834848,41.07,in_progress,0.0,0
0,18.0,5.019852535279214,0.8725285953628688,9.511658442976278,0.0,1.3333333333333333,9,0.14124094740582627,False,True,11.068772216813954,13,17.709159380834848,41.132,in_progress,0.0,0
0,19.0,5.168578313746659,0.8866215229345932,8.190696487652456,6.999999999999999,1.3333333333333333,12,0.10864311333354326,False,True,11.908566643310714,14,17.709159380834848,41.201,in_progress,0.0,0
0,20.0,5.285938127701061,0.9010612212877216,8.18478909994056,-7.000000000000002,1.3333333333333333,6,0.1110737553999027,False,True,12.571298095433168,15,17.709159380834848,41.273,in_progress,0.0,0
0,21.0,5.369864873993719,0.9135080928173277,8.209773343038151,6.999999999999999,4.0,14,0.7227553937527562,False,True,13.045426618595842,15,17.709159380834848,41.335,in_progress,0.0,0
0,22.0,5.475623578545529,0.9292463894648983,6.770018220164048,6.999999999999999,4.0,14,0.744463577618506,False,True,13.644070644133222,16,17.709159380834848,41.401,in_progress,0.0,0
0,23.0,5.632068581498532,0.9576438098634776,8.513720072934321,-21.0,1.3333333333333333,0,0.001,False,True,14.52495663689508,17,17.709159380834848,41.47,in_progress,0.0,0
0,24.0,5.780639881777233,0.9793547767171059,8.986818012106337,0.0,1.3333333333333333,9,0.6416654389949985,False,True,15.356707860656401,18,17.709159380834848,41.534,in_progress,0.0,0
0,25.0,5.906565895379996,0.9861476204023029,7.409161260852636,6.999999999999999,1.3333333333333333,12,0.6676799906641426,False,True,16.06760145678528,19,17.709159380834848,41.601,in_progress,0.0,0
0,26.0,6.004342453522859,0.9912469411053672,5.536791836574112,21.0,1.3333333333333333,18,0.001,False,False,16.61306639206631,20,17.709159380834848,41.667,in_progress,0.0,0
